name,product_title,product_url,current_price,original_price,currency,rating,is_sponsored
B0DLHLRDBY,"Samsung Galaxy A16 5G A Series, Unlocked Android Smartphone, Large AMOLED Display, Durable Design, Super Fast Charging, Expandable Storage, 5G Connectivity, US Version, 2025, Light Gray",no product url,199.99,199.99,$,4.2,False
B0F7M1D1Z9,"Tracfone Moto G Play (2023) [Activation Promotion], 32GB, Blue, Includes 1500Min/1500Txt/1500MB, 365 Days Service Plan - Prepaid Smartphone",no product url,49.99,49.99,$,4.3,False
B0DT4T8D65,"SAMSUNG Galaxy A16 4G LTE (128GB + 4GB) International Model SM-A165F/DS Factory Unlocked 6.7"" Dual Sim 50MP Dual Cam (Case Bundle) (Gray)",no product url,130.99,130.99,$,3.8,False
B0DSJHDZH3,14 PX Unlocked Android Phone 8-core Smartphone 8GB+256GB Cell Phone 24MP+50MP Camera Pixels 6800mAh Battery for Extended Standby 6.7inch HD Screen Unlocked Phone 4G Dual SIM (Purple),no product url,129.99,129.99,$,5.0,False
B0BZG14KFJ,"Panasonic Cordless Phone with Answering Machine, Advanced Call Block, Bilingual Caller ID and Easy to Read High-Contrast Display, Expandable System with 2 Handsets - KX-TGD832M (Metallic Black)",no product url,57.5,57.5,$,4.3,False
B0F9QY6M52,BLU G64L | 2025 | Unlocked | 6.8” HD+ Infinity Display | 64/4GB | Triple 13MP Camera | US Version | US Warranty | Green,no product url,69.99,69.99,$,4.1,False
B0DVHV7N4X,"Google Pixel 9a with Gemini - Unlocked Android Smartphone with Incredible Camera and AI Photo Editing, All-Day Battery, and Powerful Security - Iris - 128 GB",no product url,488.0,488.0,$,4.1,False
B0D48Z3ZCH,"Cheap Mobile Phones, 5.0 Inch, Android 9.0, Dual SIM Dual Camera, Quad Core, 16GB ROM【Expandable up to 128GB】, Support WiFi/Bluetooth/FM, Face Unlocked Phones (Purple)",no product url,49.99,49.99,$,3.0,False
B08HC5GMK2,Samsung Galaxy A11 32GB A115U Fully Unlocked Smartphones (Renewed),no product url,76.99,76.99,$,4.0,False
B0DLHLRDBY,"Samsung Galaxy A16 5G A Series, Unlocked Android Smartphone, Large AMOLED Display, Durable Design, Super Fast Charging, Expandable Storage, 5G Connectivity, US Version, 2025, Light Gray",no product url,199.99,199.99,$,4.2,False
